"The God Of Cookery","tt0116426","1","9","7.4","0","1996","95","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"The Hidden Fortress","tt0051808","1","10","8","0","1958","114","
Japanese","
Japan","DVD","JP","Japanese"
"The Hitchhikers Guide to the Galaxy","tt0081874","1","7","8","0","1981","32","
English","
UK","DVD","EN","English"
"The Killer","tt0097202","1","0","8","0","1989","96","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"The Last Samurai","tt0325710","1","8","7.8","0","2003","0","
English","
USA","DVD","US","American"
"The Long Kiss Goodnight","tt0116908","1","6.5","6.6","0","1996","0","
English","
USA","DVD","US","American"
"The Lower Depths","tt0050330","1","0","7.5","0","1957","124","
Japanese","
Japan","DVD","JP","Japanese"
"The Matrix","tt0133093","1","9","8.6","0","1999","0","
English","
USA","DVD","US","American"
"The Mikado","tt0163101","1","8.5","8","0","1984","0","
English","
Canada","DVD","US","American"
"The Mission","tt0220644","1","8","7.2","0","1999","81","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"The Real Bruce Lee","tt0186483","1","0","5.6","0","1973","118","
English","
Hong Kong","DVD","US","American"
"They Who Step on Tiger's Tail","tt0038182","1","6","7","0","1945","58","
Japanese","
Japan","DVD","JP","Japanese"
"Throne of Blood","tt0050613","1","8.5","8.1","0","1957","0","
Japanese","
Japan","DVD","JP","Japanese"
"Time and Tide","tt0251433","1","5.5","6.8","0","2000","0","
English","
Hong Kong","DVD","HK","Hong Kong"
